id,course_id,tee_box_name,hole_number,par,yardage,meters,handicap
f20a306e-e496-4f68-b79f-20c3acce9942,519f37fb-65ec-412a-a241-838c7a30a05d,White - New,2,4,439,,
f2170e67-7e84-46be-a64f-c0f3c0ebb6fa,519f37fb-65ec-412a-a241-838c7a30a05d,White,12,4,,,18
f2b7f07f-54eb-4043-a0f0-f5ef86f172a7,519f37fb-65ec-412a-a241-838c7a30a05d,Red Re-Rate 1,14,3,144,,
f2c70057-55f7-4e6a-bd07-307124b7a1d3,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow Re-Rate 1,11,4,489,,
f3a48713-0371-4d17-9287-dac9c24867f2,519f37fb-65ec-412a-a241-838c7a30a05d,Blue (w) Re-Rate 1,15,4,358,,
f3a705df-cc71-4fdf-a2c5-75252f1a573b,519f37fb-65ec-412a-a241-838c7a30a05d,Blue Re-Rate 1,2,4,403,,
f45230f3-c938-4cb8-a6e4-f20267b19906,519f37fb-65ec-412a-a241-838c7a30a05d,Red Re-Rate 1,5,4,326,,
f49ffce4-e469-4f4d-80e3-d8550599ff9e,519f37fb-65ec-412a-a241-838c7a30a05d,White - New,14,3,161,,
f68e642d-f7cf-495f-ba40-1c5ce147b49d,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow - New,16,4,454,,
f6e02320-3de6-458f-9bd5-c6c79e850a1e,519f37fb-65ec-412a-a241-838c7a30a05d,White - New (w),18,5,512,,
f6f006e8-d102-43ba-b13d-068c77eb9cb9,519f37fb-65ec-412a-a241-838c7a30a05d,White Re-Rate 1,9,5,586,,
f70cd48e-b96d-42ee-b46d-0c4d7285d658,519f37fb-65ec-412a-a241-838c7a30a05d,White (w),6,3,183,,
f7c9a5f2-96cb-45fb-ae46-18d0ba7d0564,519f37fb-65ec-412a-a241-838c7a30a05d,Red,17,3,170,,
f83863b6-0401-4835-ace0-3d67d40fcb57,519f37fb-65ec-412a-a241-838c7a30a05d,Blue Re-Rate 1,18,5,454,,
f880795a-f279-4044-852a-c5b0a8edc78f,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow - New,12,4,368,,
f8eed58e-e7bd-4745-a389-ca9bdf90669a,519f37fb-65ec-412a-a241-838c7a30a05d,Red,10,4,380,,
f992f91f-508c-4fd6-805a-23251cee3e0a,519f37fb-65ec-412a-a241-838c7a30a05d,Blue (w) Re-Rate 1,18,5,454,,
f9d0ca96-0f5b-496e-b34a-3904b1399e7d,519f37fb-65ec-412a-a241-838c7a30a05d,White - New,17,3,206,,
fa0ac910-8b21-4e81-9fc7-3e3301590edc,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New,12,4,335,,
fabb5fb5-0910-4997-8ba8-1b2da9e02ed8,519f37fb-65ec-412a-a241-838c7a30a05d,Blue Re-Rate 1,11,4,405,,
fadf352b-77e5-4e6e-851d-23dbff896089,519f37fb-65ec-412a-a241-838c7a30a05d,White,16,4,,,4
fb234912-3fa1-4ac2-a544-399fb2e7141e,0f43bfb1-c569-4504-a7b6-d51056c9522e,White,10,4,,,3
fb8e7ab2-4c86-4ccd-b722-2b3b64137233,519f37fb-65ec-412a-a241-838c7a30a05d,Red(w),17,3,170,,
fc4aeb5c-1baa-4eed-8f21-dc745c7f18c6,519f37fb-65ec-412a-a241-838c7a30a05d,Blue(w),2,4,395,,
fc73d359-7764-4154-bcf5-e13aa9eb6e3a,519f37fb-65ec-412a-a241-838c7a30a05d,White - New,12,4,361,,
fcdf7096-77e6-4dca-8e22-22b0e2ca58bc,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New (w),1,4,307,,
fd7674d7-6c51-4063-aa26-8128e7dd440b,519f37fb-65ec-412a-a241-838c7a30a05d,White - New,9,5,586,,
fe2c3684-64ab-429f-b77d-a48002320c95,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow (w) Re-Rate 1,17,3,218,,
fe810e04-abc6-4288-a605-01e856524fff,519f37fb-65ec-412a-a241-838c7a30a05d,Red,15,4,365,,
